feature,importance
Init_Win_bytes_forward,0.22097991
PSH Flag Count,0.046414252
FIN Flag Count,0.041794702
Flow Bytes/s,0.03144715
Min Packet Length,0.02834792
Packet Length Std,0.027266566
Packet Length Variance,0.02576287
Flow IAT Min,0.023180876
ACK Flag Count,0.021249026
Fwd Packet Length Min,0.020964766
Bwd IAT Std,0.020524241
min_seg_size_forward,0.018222366
byte_burstiness,0.017690163
iat_cv_fwd,0.016806876
Fwd Packet Length Std,0.015810322
Fwd IAT Std,0.015261206
Bwd Packets/s,0.015105576
Bwd Header Length,0.013867975
Down/Up Ratio,0.01336465
Bwd IAT Min,0.012884078
iat_cv_flow,0.012536171
Bwd Packet Length Min,0.012489614
Destination Port,0.012429996
Bwd Packet Length Std,0.011234276
iat_cv_bwd,0.011182436
Total Backward Packets,0.010630361
Bwd IAT Mean,0.010541246
Flow IAT Mean,0.010514859
Active Std,0.010473405
Fwd Packets/s,0.010437018
URG Flag Count,0.009899988
Fwd Packet Length Mean,0.00952939
Flow Packets/s,0.009212513
Idle Mean,0.008875026
Idle Max,0.008850177
Bwd Packet Length Max,0.008318069
Avg Fwd Segment Size,0.008242243
Init_Win_bytes_backward,0.008210004
Fwd IAT Min,0.008146036
Bwd IAT Total,0.008122913
Average Packet Size,0.007978555
Flow IAT Max,0.007953837
Subflow Fwd Packets,0.007793762
Bwd IAT Max,0.0077755963
Fwd IAT Max,0.0076840026
Flow Duration,0.0075265844
SYN Flag Count,0.0073328745
Subflow Fwd Bytes,0.0067170192
Active Mean,0.00650933
Fwd IAT Mean,0.006337106
Total Length of Fwd Packets,0.006293991
Fwd IAT Total,0.006133522
Total Fwd Packets,0.005978341
Idle Min,0.004848743
fwd_bwd_pkt_ratio,0.0044755796
Flow IAT Std,0.0043491675
Max Packet Length,0.00434697
act_data_pkt_fwd,0.004328083
Subflow Bwd Bytes,0.0034537448
Avg Bwd Segment Size,0.0033807622
Fwd Header Length.1,0.003129026
Subflow Bwd Packets,0.0030292827
Fwd PSH Flags,0.003005259
Fwd Packet Length Max,0.0029994296
Total Length of Bwd Packets,0.002861182
bytes_per_packet,0.0025346403
Bwd Packet Length Mean,0.002510076
Packet Length Mean,0.00228256
Fwd Header Length,0.0021997346
Active Min,0.0018142759
Idle Std,0.001495487
CWE Flag Count,0.0011841097
Fwd URG Flags,0.0010456722
Active Max,0.00091944274
ECE Flag Count,0.000596319
RST Flag Count,0.00037470018
Bwd Avg Packets/Bulk,3.574847e-39
Bwd PSH Flags,2.086937e-39
Fwd Avg Bytes/Bulk,1.449262e-39
Fwd Avg Packets/Bulk,1.178733e-39
Bwd Avg Bulk Rate,8.50234e-40
Bwd URG Flags,7.92263e-40
Fwd Avg Bulk Rate,7.7294e-40
Bwd Avg Bytes/Bulk,4.63764e-40
