feature,importance
Destination Port,0.1265653882036386
Bwd Packet Length Mean,0.03801255011470489
Packet Length Variance,0.036681673984986285
Bwd Packets/s,0.036039680566787295
Bwd Packet Length Min,0.03591780901652017
Average Packet Size,0.03498304250955736
Avg Bwd Segment Size,0.033893103787566936
Init_Win_bytes_forward,0.032458705190164194
Packet Length Std,0.03055730492036635
Packet Length Mean,0.028623487909654216
bytes_per_packet,0.027408513313721298
Subflow Fwd Packets,0.026918475308257972
Max Packet Length,0.026000019020342838
byte_burstiness,0.022653217327223297
Fwd IAT Mean,0.021989692518825925
PSH Flag Count,0.021324550537436638
Bwd Packet Length Std,0.01963981408110653
Flow Bytes/s,0.019515392571971126
Fwd Header Length,0.01859680984914701
Total Length of Fwd Packets,0.018481734223810983
Subflow Fwd Bytes,0.018242566954870275
Fwd IAT Min,0.017692836321171853
Init_Win_bytes_backward,0.01625547598554983
Bwd Packet Length Max,0.01592024027534802
Total Fwd Packets,0.015509271719161917
Total Length of Bwd Packets,0.014864672144401334
Avg Fwd Segment Size,0.01463314311613231
Fwd Header Length.1,0.01393430672537479
Subflow Bwd Bytes,0.013811075671192169
Fwd Packet Length Max,0.013737115592583993
Bwd Header Length,0.011969533601890075
Fwd Packet Length Std,0.011516833097991017
Fwd Packet Length Mean,0.011296661273142692
Fwd IAT Max,0.009818482861355626
Fwd Packet Length Min,0.009685784854941008
Total Backward Packets,0.008732594866203204
fwd_bwd_pkt_ratio,0.008675646965866078
Flow Duration,0.008350785470854612
Flow Packets/s,0.00821982269228895
Flow IAT Max,0.007507209223826775
Subflow Bwd Packets,0.0074306039601013405
Min Packet Length,0.007289930670989059
URG Flag Count,0.006719016248618143
ACK Flag Count,0.0062490425253914385
min_seg_size_forward,0.005777494360117026
Fwd IAT Total,0.005380995402420054
iat_cv_flow,0.0050970362235638065
Flow IAT Mean,0.005021991842489176
Flow IAT Std,0.0045094856746327495
Fwd Packets/s,0.003967550047585827
Flow IAT Min,0.003789536939910564
Fwd IAT Std,0.003760282620920717
iat_cv_bwd,0.003053362593987607
Bwd IAT Min,0.0026801030589683516
iat_cv_fwd,0.002218873675178733
Bwd IAT Total,0.0020524590745319244
act_data_pkt_fwd,0.0020298569704430354
Bwd IAT Mean,0.001982362964864281
Bwd IAT Max,0.00189945045591392
Bwd IAT Std,0.0017629550983527362
Down/Up Ratio,0.0015347696685936044
Idle Max,0.0014564206254995072
Fwd PSH Flags,0.0013202311291529763
Idle Min,0.0012315004491248835
Idle Mean,0.001073381567236692
Active Mean,0.0010081682883619299
SYN Flag Count,0.0008489405002253392
Active Max,0.0007296835036287825
FIN Flag Count,0.0005142634260941427
Active Std,0.0004854300834592937
Active Min,0.0004208971768284839
Idle Std,6.275818023419882e-05
CWE Flag Count,2.9717940605365557e-06
Fwd URG Flags,2.965283971686102e-06
ECE Flag Count,1.0599038264579757e-07
RST Flag Count,9.755422834952978e-08
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
